"ncbi ID","Scientific.Name","superkingdom","kingdom","phylum","class","order","family","genus","species"
"1003195","Streptomyces cattleya NRRL 8057 = DSM 46488","Bacteria","0","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces cattleya"
"1003200","Achromobacter insuavis AXX-A","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter insuavis"
"1003237","Nitrospirillum amazonense Y2","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Nitrospirillum","Nitrospirillum amazonense"
"1004","Chitinophaga sancti","Bacteria","0","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga sancti"
"1004785","Alteromonas macleodii str. 'Black Sea 11'","Bacteria","0","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas macleodii"
"1004836","Gluconacetobacter sp. SXCC-1","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter sp. SXCC-1"
"1005043","Candidatus Regiella insecticola 5.15","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Candidatus Regiella","Candidatus Regiella insecticola"
"1005048","Collimonas fungivorans Ter331","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas","Collimonas fungivorans"
"1005058","Gallibacterium anatis UMN179","Bacteria","0","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Gallibacterium","Gallibacterium anatis"
"1005395","Pseudomonas putida CSV86","Bacteria","0","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida"
"1005667","Kosakonia oryziphila","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia","Kosakonia oryziphila"
"1005928","Roseovarius lutimaris","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius","Roseovarius lutimaris"
"1005944","Nocardioides szechwanensis","Bacteria","0","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides szechwanensis"
"1005945","Nocardioides psychrotolerans","Bacteria","0","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides psychrotolerans"
"1005994","Trabulsiella guamensis ATCC 49490","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Trabulsiella","Trabulsiella guamensis"
"1005995","Tatumella ptyseos ATCC 33301","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella ptyseos"
"1005999","Leminorella grimontii ATCC 33999 = DSM 5078","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Budviciaceae","Leminorella","Leminorella grimontii"
"1006000","Kluyvera ascorbata ATCC 33433","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera","Kluyvera ascorbata"
"1006004","Buttiauxella agrestis ATCC 33320","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella","Buttiauxella agrestis"
"1006551","Klebsiella michiganensis KCTC 1686","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis"
"1006576","Defluviitoga tunisiensis","Bacteria","0","Thermotogae","Thermotogae","Petrotogales","0","Defluviitoga","Defluviitoga tunisiensis"
"1007105","Pusillimonas sp. T7-7","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pusillimonas","Pusillimonas sp. T7-7"
"1007676","Lactobacillus ginsenosidimutans","Bacteria","0","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus ginsenosidimutans"
"1008305","Fervidobacterium thailandense","Bacteria","0","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium","Fervidobacterium thailandense"
"1008392","Chitinispirillum alkaliphilum","Bacteria","0","Fibrobacteres","Chitinispirillia","Chitinispirillales","Chitinispirillaceae","Chitinispirillum","Chitinispirillum alkaliphilum"
"100901","Wolbachia endosymbiont of Onchocerca ochengi","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Onchocerca ochengi"
"1009370","Acetonema longum DSM 6540","Bacteria","0","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Acetonema","Acetonema longum"
"1010","Sphingobacterium mizutaii","Bacteria","0","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium mizutaii"
"1010676","Candidatus Tremblaya phenacola","Bacteria","0","Proteobacteria","Betaproteobacteria","0","0","Candidatus Tremblaya","Candidatus Tremblaya phenacola"
"101510","Rhodococcus jostii RHA1","Bacteria","0","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus jostii"
"101571","Burkholderia ubonensis","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia ubonensis"
"1017270","Fictibacillus enclensis","Bacteria","0","Firmicutes","Bacilli","Bacillales","Bacillaceae","Fictibacillus","Fictibacillus enclensis"
"1017273","Domibacillus enclensis","Bacteria","0","Firmicutes","Bacilli","Bacillales","Bacillaceae","Domibacillus","Domibacillus enclensis"
"1019","Capnocytophaga sputigena","Bacteria","0","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga sputigena"
"102125","Xenococcus sp. PCC 7305","Bacteria","0","Cyanobacteria","0","Pleurocapsales","Xenococcaceae","Xenococcus","Xenococcus sp. PCC 7305"
"102232","Gloeocapsa sp. PCC 73106","Bacteria","0","Cyanobacteria","0","Chroococcales","Chroococcaceae","Gloeocapsa","Gloeocapsa sp. PCC 73106"
"1026882","Methylophaga aminisulfidivorans MP","Bacteria","0","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga","Methylophaga aminisulfidivorans"
"1027249","Gracilibacillus kekensis","Bacteria","0","Firmicutes","Bacilli","Bacillales","Bacillaceae","Gracilibacillus","Gracilibacillus kekensis"
"1027273","Endozoicomonas montiporae","Bacteria","0","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","Endozoicomonas montiporae"
"1027292","Sporosarcina newyorkensis 2681","Bacteria","0","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina","Sporosarcina newyorkensis"
"1028","Marivirga sericea","Bacteria","0","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marivirga","Marivirga sericea"
"1028307","Klebsiella aerogenes KCTC 2190","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella aerogenes"
"1028416","Psychrobacter sp. DAB_AL43B","Bacteria","0","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter sp. DAB_AL43B"
"102897","Frankia sp. EUN1f","Bacteria","0","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Frankia","Frankia sp. EUN1f"
"1028989","Pseudomonas sp. StFLB209","Bacteria","0","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. StFLB209"
"1029718","Candidatus Arthromitus sp. SFB-mouse-Japan","Bacteria","0","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Candidatus Arthromitus","Candidatus Arthromitus sp. SFB-mouse"
"1029756","Hyphomicrobium nitrativorans NL23","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium nitrativorans"
"1030157","Sphingomonas sp. KC8","Bacteria","0","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. KC8"
"1030841","Neisseria wadsworthii 9715","Bacteria","0","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria wadsworthii"
"1031541","Tropicimonas sediminicola","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tropicimonas","Tropicimonas sediminicola"
"1031564","Campylobacter insulaenigrae NCTC 12927","Bacteria","0","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter insulaenigrae"
"1031746","Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260","Bacteria","0","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter hyointestinalis"
"1032480","Microlunatus phosphovorus NM-1","Bacteria","0","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus","Microlunatus phosphovorus"
"1032488","Neisseria shayeganii 871","Bacteria","0","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria shayeganii"
"1032867","Pasteurella multocida subsp. multocida str. Anand1_cattle","Bacteria","0","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella","Pasteurella multocida"
"1032868","Pasteurella multocida subsp. multocida str. Anand1_buffalo","Bacteria","0","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella","Pasteurella multocida"
"1033731","Alistipes timonensis JC136","Bacteria","0","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes timonensis"
"1033802","Salinisphaera shabanensis E1L3A","Bacteria","0","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","Salinisphaera","Salinisphaera shabanensis"
"1033810","Haloplasma contractile SSD-17B","Bacteria","0","0","0","Haloplasmatales","Haloplasmataceae","Haloplasma","Haloplasma contractile"
"1034807","Flavobacterium branchiophilum FL-15","Bacteria","0","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium branchiophilum"
"1034808","Mycoplasma anatis 1340","Bacteria","0","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma anatis"
"1034889","Variovorax sp. HW608","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax sp. HW608"
"1034943","Legionella massiliensis","Bacteria","0","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Legionella massiliensis"
"1035188","Haemophilus pittmaniae HK 85","Bacteria","0","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus pittmaniae"
"1035189","Streptococcus infantis SK970","Bacteria","0","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantis"
"1035195","Corynebacterium durum F0235","Bacteria","0","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium durum"
"1035197","Prevotella sp. oral taxon 473 str. F0040","Bacteria","0","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Prevotella sp. oral taxon 473"
"1035707","Massilia namucuonensis","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia namucuonensis"
"1036181","Friedmanniella flava","Bacteria","0","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Friedmanniella","Friedmanniella flava"
"1036182","Actinoplanes atraurantiacus","Bacteria","0","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes atraurantiacus"
"1036672","Advenella kashmirensis WT001","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","Advenella kashmirensis"
"1036674","Idiomarina sp. A28L","Bacteria","0","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Idiomarina","Idiomarina sp. A28L"
"1036780","Bosea robiniae","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea robiniae"
"103690","Nostoc sp. PCC 7120","Bacteria","0","Cyanobacteria","0","Nostocales","Nostocaceae","Nostoc","Nostoc sp. PCC 7120"
"1037362","Tropicibacter phthalicicus","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tropicibacter","Tropicibacter phthalicicus"
"1037409","Bradyrhizobium japonicum USDA 6","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"1037410","Mycoplasma columbinum SF7","Bacteria","0","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma columbinum"
"1038014","Aquimarina amphilecti","Bacteria","0","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina","Aquimarina amphilecti"
"103808","Rhodococcus sp. AD45","Bacteria","0","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus sp. AD45"
"103855","Bordetella hinzii","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella hinzii"
"1038921","Pseudomonas chlororaphis subsp. aureofaciens 30-84","Bacteria","0","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas chlororaphis"
"1041826","Flavobacterium columnare ATCC 49512","Bacteria","0","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium columnare"
"1042156","Clostridium sp. SY8519","Bacteria","0","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium sp. SY8519"
"1042163","Brevibacillus laterosporus LMG 15441","Bacteria","0","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus","Brevibacillus laterosporus"
"1042209","Pseudomonas fluorescens HK44","Bacteria","0","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas fluorescens"
"1042404","Streptococcus thermophilus CNCM I-1630","Bacteria","0","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus thermophilus"
"104268","Tenacibaculum mesophilum","Bacteria","0","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Tenacibaculum mesophilum"
"104336","Microbacterium foliorum","Bacteria","0","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium foliorum"
"1043493","Lysinimicrobium mangrovi","Bacteria","0","Actinobacteria","Actinobacteria","Micrococcales","Demequinaceae","Lysinimicrobium","Lysinimicrobium mangrovi"
"1044","Erythrobacter longus","Bacteria","0","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","Erythrobacter longus"
"1045004","Oenococcus kitaharae DSM 17330","Bacteria","0","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Oenococcus","Oenococcus kitaharae"
"1045558","Neptunomonas qingdaonensis","Bacteria","0","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptunomonas","Neptunomonas qingdaonensis"
"1045774","Nocardioides lianchengensis","Bacteria","0","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides lianchengensis"
"1045854","Weissella koreensis KACC 15510","Bacteria","0","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","Weissella koreensis"
"1045855","Pseudoxanthomonas spadix BD-a59","Bacteria","0","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas spadix"
"1045856","Enterobacter cloacae EcWSU1","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae"
"104605","Sphingomonas sp. Ant20","Bacteria","0","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. Ant20"
"1046581","Chlamydia ibidis 10-1398/6","Bacteria","0","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia ibidis"
"1046627","Bizionia argentinensis JUB59","Bacteria","0","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Bizionia","Bizionia argentinensis"
"104663","Chitinophaga filiformis","Bacteria","0","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga filiformis"
"1048205","Streptomyces uncialis","Bacteria","0","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces uncialis"
"1048260","Leptospirillum ferriphilum ML-04","Bacteria","0","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Leptospirillum","Leptospirillum ferriphilum"
"1048340","Marininema mesophilum","Bacteria","0","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Marininema","Marininema mesophilum"
"1048380","Fusibacter sp. 3D3","Bacteria","0","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XII. Incertae Sedis","Fusibacter","Fusibacter sp. 3D3"
"1048830","Mycoplasma iowae 695","Bacteria","0","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma iowae"
"1048983","Anditalea andensis","Bacteria","0","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Anditalea","Anditalea andensis"
"1049564","endosymbiont of Tevnia jerichonana (vent Tica)","Bacteria","0","Proteobacteria","Gammaproteobacteria","0","0","0","endosymbiont of Tevnia jerichonana"
"1049759","Leptospira alexanderi serovar Manhao 3 str. L 60","Bacteria","0","Spirochaetes","Spirochaetia","0","Leptospiraceae","Leptospira","Leptospira alexanderi"
"1049972","Leptospira licerasiae serovar Varillal str. VAR 010","Bacteria","0","Spirochaetes","Spirochaetia","0","Leptospiraceae","Leptospira","Leptospira licerasiae"
"1049986","Leptospira weilii str. Ecochallenge","Bacteria","0","Spirochaetes","Spirochaetia","0","Leptospiraceae","Leptospira","Leptospira weilii"
"1050174","Corynebacterium epidermidicanis","Bacteria","0","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium epidermidicanis"
"1051632","Sulfobacillus acidophilus TPY","Bacteria","0","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Sulfobacillus","Sulfobacillus acidophilus"
"1051646","Vibrio tubiashii ATCC 19109","Bacteria","0","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio tubiashii"
"1051985","Neisseria weaveri LMG 5135","Bacteria","0","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria weaveri"
"1052","Halorhodospira halochloris","Bacteria","0","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira","Halorhodospira halochloris"
"1052260","Klenkia soli","Bacteria","0","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Klenkia","Klenkia soli"
"1053234","Bacillus cereus VD136","Bacteria","0","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus"
"1053648","Candidatus Tremblaya princeps PCVAL","Bacteria","0","Proteobacteria","Betaproteobacteria","0","0","Candidatus Tremblaya","Candidatus Tremblaya princeps"
"1054213","Acetobacteraceae bacterium AT-5844","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","0","Acetobacteraceae bacterium AT-5844"
"1054996","Roseovarius marisflavi","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius","Roseovarius marisflavi"
"1055526","Candidatus Paraburkholderia kirkii UZHbot1","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Candidatus Paraburkholderia kirkii"
"1055723","Muricauda antarctica","Bacteria","0","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Muricauda","Muricauda antarctica"
"1056511","Photobacterium marinum","Bacteria","0","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Photobacterium marinum"
"106370","Frankia casuarinae","Bacteria","0","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Frankia","Frankia casuarinae"
"106412","Streptosporangium subroseum","Bacteria","0","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Streptosporangium","Streptosporangium subroseum"
"1064535","Megasphaera elsdenii DSM 20460","Bacteria","0","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera elsdenii"
"1064539","Azospirillum brasilense Sp245","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Azospirillum","Azospirillum brasilense"
"1068978","Amycolatopsis methanolica 239","Bacteria","0","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis methanolica"
"1069081","Nitratiruptor tergarcus DSM 16512","Bacteria","0","Proteobacteria","Epsilonproteobacteria","0","0","Nitratiruptor","Nitratiruptor tergarcus"
"1069534","Lactobacillus ruminis ATCC 27782","Bacteria","0","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus ruminis"
"1069536","Sporolactobacillus inulinus CASD","Bacteria","0","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae","Sporolactobacillus","Sporolactobacillus inulinus"
"1069985","Pedobacter kyungheensis","Bacteria","0","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter kyungheensis"
"1070130","Candidatus Gullanella endobia","Bacteria","0","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Candidatus Gullanella","Candidatus Gullanella endobia"
"1070319","Candidatus Glomeribacter gigasporarum BEG34","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Candidatus Glomeribacter","Candidatus Glomeribacter gigasporarum"
"1070870","Geodermatophilus nigrescens","Bacteria","0","Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Geodermatophilus","Geodermatophilus nigrescens"
"1071400","Lactobacillus buchneri CD034","Bacteria","0","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus buchneri"
"1071679","Caballeronia grimmiae","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Caballeronia","Caballeronia grimmiae"
"1071918","Riemerella columbipharyngis","Bacteria","0","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Riemerella","Riemerella columbipharyngis"
"1072256","Corynebacterium uterequi","Bacteria","0","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium uterequi"
"1072685","Basilea psittacipulmonis DSM 24701","Bacteria","0","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Basilea","Basilea psittacipulmonis"
"1073196","Pseudoxanthomonas wuyuanensis","Bacteria","0","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas wuyuanensis"
"107327","Pseudoalteromonas ulvae","Bacteria","0","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas ulvae"
"1073325","Salegentibacter echinorum","Bacteria","0","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Salegentibacter","Salegentibacter echinorum"
"1073327","Algoriphagus zhangzhouensis","Bacteria","0","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus zhangzhouensis"
"1073328","Muricauda zhangzhouensis","Bacteria","0","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Muricauda","Muricauda zhangzhouensis"
"1073423","Carnobacterium iners","Bacteria","0","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Carnobacterium iners"
"1073571","Paenibacillus riograndensis SBR5","Bacteria","0","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus riograndensis"
"1073574","Gordonia araii NBRC 100433","Bacteria","0","Actinobacteria","Actinobacteria","Corynebacteriales","Gordoniaceae","Gordonia","Gordonia araii"
"1074","Rhodoblastus acidophilus","Bacteria","0","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Rhodoblastus","Rhodoblastus acidophilus"
"1074467","Lactobacillus heilongjiangensis","Bacteria","0","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus heilongjiangensis"
